科目,章节,题目,答案
生物,十、显微镜的结构和使用,(6)显微镜的________:转动时可使镜筒快速和较大幅度地升降，观察时用来找物像；,粗准焦螺旋
生物,十、显微镜的结构和使用,(7)显微镜的________:找到物像后换细准焦螺旋微调，使物像更加清晰。,细准焦螺旋
生物,十、显微镜的结构和使用,2.显微镜放大倍数=物镜________x________放大倍数,物镜放大倍数x目镜放大倍数
生物,十、显微镜的结构和使用,"(1)放大倍数越_____,视野范围越_____,看到的细胞数目越多，光线越亮；",小，大
生物,十、显微镜的结构和使用,"(2)放大倍数越_____,视野范围越_____,看到的细胞数目越少，光线越暗。",大，小
生物,十、显微镜的结构和使用,"3.从显微镜目镜内看到的物像是________,如字母“b”看到的成像是“q”。",倒像
生物,十、显微镜的结构和使用,4.如果要将物像往视野中央移动，物像在哪里，就往哪个方向移动玻片标本(_______________)(如：要将物像移到视野中央，物像在视野左边，就朝左边移玻片),像在哪往哪移
生物,十、显微镜的结构和使用,低倍镜换高倍镜的使用步骤：(1)________动玻片到视野_________;,移；中央
生物,十、显微镜的结构和使用,低倍镜换高倍镜的使用步骤：(2)________动转换器_______________;,转；换高倍物镜
生物,十、显微镜的结构和使用,低倍镜换高倍镜的使用步骤：(3)视野会________(可换用_______________);,变暗；大光圈，凹面镜
生物,十、显微镜的结构和使用,"低倍镜换高倍镜的使用步骤：(4)视野会变模糊(_______________________,千万不能动粗准焦螺旋)。",转动细准焦螺旋
生物,十、显微镜的结构和使用,6.光线强：________________________;光线弱：_______________________。,光线强：用小光圈，平面镜；光线弱：用大光圈，凹面镜
生物,十、显微镜的结构和使用,7.污点位置确认：视野中的污点只能在_______________________上，转动目镜，污点随之移动，则污点在目镜上；移动玻片，污点移动，则污点在玻片上；转动目镜和移动玻片，污点均不动，则污点在物镜上。,目镜、物镜和玻片
生物,十、显微镜的结构和使用,8.显微镜的使用步骤：取镜和安放→________→观察→清洁和收镜,对光
生物,十、显微镜的结构和使用,显微镜使用中取镜和安放，右手握镜臂，左手托镜座，放在距离试验台缘约___厘米，装好目镜物镜；,7
生物,十、显微镜的结构和使用,"显微镜的使用步骤中对光：
一转动________，使低倍镜对准通光孔，
二移动________，把一个较大光圈对准通光孔，一只眼注视目镜，另一只眼睁开，
三转动________，直到看到一个圆形亮白的视野；","一转动转换器；二移动遮光器；三转动反光镜
"
生物,十、显微镜的结构和使用,"显微镜的使用步骤中观察：将标本放在载物台，正对通光孔中心；
顺时针转动________，使________缓缓下降，眼睛从侧面看着物镜；
一只眼看________，逆时针转动粗准焦螺旋，使镜筒缓缓上升至________，再调节细准焦螺旋，使看到的物象________。","顺时针转动粗准焦螺旋，使镜筒缓缓下降，眼睛从侧面看着物镜；
一只眼看目镜，逆时针转动粗准焦螺旋，使镜筒缓缓上升至看清物象，再调节细准焦螺旋，使看到的物象更清晰"
生物,十、显微镜的结构和使用,"顺时针转动________________,使________缓缓降，眼睛从_______________一只眼看________,逆时针转动粗准焦螺旋，使镜筒缓缓上升至_______________再调节_______________,使看到的物象",且镜；看清物象；细准焦螺旋
生物,十、显微镜的结构和使用,显微镜的使用步骤中清洁与收镜将显微镜外表擦拭干净，下降镜筒，用________擦拭目镜和物镜，放回原处,擦镜纸
生物,十一、细胞的结构和生活,1.细胞的结构和生活主题：除_____以外，生物都是由______构成的。_____是生命活动的_______________。,除病毒以外，生物都是由细胞构成的。细胞是生命活动的基本单位。
生物,十一、细胞的结构和生活,"2.植物洋葱鳞片叶内表皮细胞临时装片的制作：
擦→滴()→撕(撕取叶内表皮)→展→盖→染(用稀碘液染色)→吸。",滴(清水)
生物,十一、细胞的结构和生活,"3.动物口腔上皮细胞临时装片的制作：
擦→滴()→刮→涂→盖→染(用稀碘液染色)→吸。",滴(生理盐水)
生物,十一、细胞的结构和生活,★细胞实验中滴加生理盐水的作用是为了维持______________正常形态。,维持细胞的正常形态
生物,十一、细胞的结构和生活,★细胞实验中盖盖玻片时要使其一边先接触液滴，然后缓缓放下另一边，避免出现_______________,避免出现气泡。
生物,十一、细胞的结构和生活,"4.显微镜观察植物细胞，不易看到的是_______________,染色最深的是_______________",显微镜观察植物细胞，不易看到的是细胞膜，染色最深的是细胞核
生物,十一、细胞的结构和生活,"5.生物图绘图注意：绘图采用___________,图中较暗的地方，要用铅笔___________
越暗的地方，细点越多。在图___________写好名称，文字说明一般注在图的_________侧。",绘图采用3H铅笔，图中较暗的地方，要用铅笔点细点，不能涂阴影；越暗的地方，细点越多。图下方写好名称，文字说明一般注在图的右侧
生物,十一、细胞的结构和生活,6.动、植物细胞结构相同点：植物和动物细胞都有、_______________、_________和_________。,都有细胞膜、细胞质、细胞核和线粒体
生物,十一、细胞的结构和生活,动、植物细胞结构不同点：植物细胞有_______________，动物细胞没有_______________,植物细胞有细胞壁、液泡、叶绿体，动物细胞没有细胞壁、液泡、叶绿体
生物,十一、细胞的结构和生活,7.★非绿色部分的植物细胞没有叶绿体，如表皮细胞、根尖细胞等。只有_________的细胞没有_________,只有动物的细胞没有细胞壁
生物,十一、细胞的结构和生活,"细胞的生活需要_____________和_______________,细胞中的能量转换器是_____________和_______________",细胞的生活需要物质和能量，细胞中的能量转换器是叶绿体和线粒体。
生物,十一、细胞的结构和生活,★只有_______________的细胞有叶绿体；但是植物细胞都有线粒体。动物细胞的能量转换器只有线粒体。,植物的绿色部分的细胞有叶绿体
生物,十一、细胞的结构和生活,"8.叶绿体能进行____作用，将____能转化成____能,储存在有机物中；","叶绿体能进行光合作用，将光能转化成化学能,储存在有机物中；"
生物,十一、细胞的结构和生活,线粒体能进行____作用，将有机物中的____能转化成生命活动所需的能量,线粒体能进行呼吸作用，将有机物中的化学能转化成生命活动所需的能量
生物,十一、细胞的结构和生活,"9.细胞核是细胞的_______________,含有遗传物质DNA,控制着生物的__________和_______________。","细胞核是细胞的控制中心，含有遗传物质DNA,控制着生物的遗传和发育"
生物,十一、细胞的结构和生活,10.细胞组成部分①________:保护和支持；②____________:保护和控制物质进出③_____:内含细胞液(花香瓜甜带有色素)④___________:含有细胞器，能进行物质交换,"细胞壁:保护和支持细胞膜：保护和控制物质进出
液泡：内含细胞液(花香瓜甜带有色素)细胞质：含有细胞器，能进行物质交换"
生物,十二、生物体的结构层次,1.生物体的结构层次主题：生物体由小长大的原因是细胞______，细胞______，细胞______，,细胞生长、细胞分裂和细胞分化
生物,十二、生物体的结构层次,(1)生物细胞分裂：细胞数目____,数目增加
生物,十二、生物体的结构层次,(2)生物细胞生长：细胞体积____,体积增大
生物,十二、生物体的结构层次,"(3)生物细胞分化：细胞种类______(数目不变),细胞的___________发生变化_,形成组织。",种类增加，形态、功能发生变化
生物,十二、生物体的结构层次,(1)植物细胞分裂：_______________先由一个分成两个→分成两份→中央_______________________________,细胞核，细胞质，形成新的细胞壁和细胞膜；
生物,十二、生物体的结构层次,"细胞分裂过程中，______变化最明显，它______,然后_______________,分别_______________因此新细胞染色体_______________与原细胞中染色体的形态和数目(新老细胞遗传物质一样)。",染色体，先复制，平均分成两份，进入两个细胞
生物,十二、生物体的结构层次,动物_____组织功能：保护、分泌，举例：人口腔上皮、腺体,上皮，
生物,十二、生物体的结构层次,动物_____组织功能连接、支持、保护、营养，举例：_____、骨组织、_____,结缔，血液，肌腱
生物,十二、生物体的结构层次,动物_____组织功能收缩、舒张，举例：_____、心肌、平滑肌,肌肉，肌腹
生物,十二、生物体的结构层次,动物_____组织功能产生兴奋、传导兴奋，举例：脑、脊髓,神经，
生物,十二、生物体的结构层次,植物_____组织特征：细胞核大，壁薄，质浓，分布根尖____、茎的____、芽的____功能是分裂产生新细胞,分生，根尖分生区、茎的形成层、芽的生长点
生物,十二、生物体的结构层次,植物_____组织特征：细胞排列_____、分布在叶表皮、果皮等功能是保护作用。,保护，整齐、紧密
生物,十二、生物体的结构层次,"植物_____组织特征：____,壁薄，分布在果肉、叶肉、胚乳等功能是储存营养物质。",营养，液泡大
生物,十二、生物体的结构层次,植物_____组织特征：导管是死细胞，筛管是活细胞，分布在木质部(导管)、韧皮部(筛管)，功能是运输营养,输导
生物,十二、生物体的结构层次,"植物_____组织特征：____,分布在茎、叶柄等处，功能是支持和保护。",机械，细胞壁增厚
生物,十二、生物体的结构层次,5.绿色开花植物的六大器官是：___、___、___是营养器官，___、___、___是生殖器官,根、茎、叶是营养器官，花、果实、种子是生殖器官
生物,十二、生物体的结构层次,6.植物结构层次(由微观到宏观):___→组织→_______→个体。(植物没有系统),细胞→组织→器官→个体。
生物,十二、生物体的结构层次,7.人体结构层次(由微观到宏观):___→___→___→___→___,细胞→组织→器官→系统→个体
生物,十三、单细胞生物,1.生物圈中，还有一些生物的身体是由_______________构成的，称为_______________(不是分类学专门的分类)。,一个细胞；单细胞生物
生物,十三、单细胞生物,单细胞生物例如：___________________________________________________________________________等(衣藻两菌三虫)。,衣藻、酵母菌、大肠杆菌、草履虫、变形虫、眼虫
生物,十三、单细胞生物,★衣藻属于________;酵母菌属于________;大肠杆菌属于________;三虫都属于_______________,衣藻属于植物：酵母菌属于真菌：大肠杆菌属于细菌：三虫都属于原生生物
生物,十三、单细胞生物,★常考：疟原虫会引起________。,疟疾
生物,十三、单细胞生物,"2.草履虫的生殖方式：_______________,通过细胞分裂产生新的个体",分裂生殖
生物,十三、单细胞生物,"3.草履虫生活在淡水中，通过________呼吸，靠________运动，食物通过________进入细胞内，形成________,逐渐被消化。",表膜；纤毛；口沟；食物泡
生物,十三、单细胞生物,草履虫不能消化的食物残渣靠________排出，而体内多余的水分和废物是由______收集_____排出体外。,胞肛；收集管；伸缩泡
生物,十三、单细胞生物,4.在观察草履虫的实验中，应用滴管从草履虫培养液_______吸一滴来观察，原因是_______________,表层；表层含氧丰富
生物,十三、单细胞生物,"5.草履虫运动过快，在液滴上放上_______________,目的是___________________，用_____显微镜观察。",几丝棉花纤维；限制草履虫运动过快，方便观察。低倍
生物,十四、绿色植物的主要类群,1.植物的分类：植物类型包括孢子植物和种子植物；孢子植物包括________，苔藓，蕨类；种子植物包括裸子植物和_______植物_。,孢子植物包括藻类，苔藓，蕨类；种子植物包括裸子和被子。
生物,十四、绿色植物的主要类群,藻类植物生活环境大多在_____中，其形态结构是单细胞或多细胞，无________的分化，代表植物有______、______海带、紫，其用途是_____重要来源。,水；根、茎、叶；衣藻、水棉；氧气
生物,十四、绿色植物的主要类群,苔藓植物生活环境在阴暗潮湿的陆地上，其形态结构有______的分化，有___根。无______组织，代表植物有葫芦藓、地钱，其用途是监测_____的指示植物。,茎和叶;假;输导；空气污染
生物,十四、绿色植物的主要类群,蕨类植物生活环境在潮湿的环境里，其形态结构有____的分化，____输导组织，代表植物有______、贯众、杪椤、满江红，其用途是形成__。,根、茎、叶；有；卷柏；煤
生物,十四、绿色植物的主要类群,裸子植物生活环境在干旱、贫瘠中，其形态结构是种子____，________果皮包被的分化，代表植物有松、杉、柏、银杏、苏铁，其用途是绿化、提供木材。,裸露；没有
生物,十四、绿色植物的主要类群,被子植物生活环境在各种环境中，其形态结构是种子___果皮包被，代表植物有绿色开花植物，其用途是食用、木材等分布最广，种类最多。,有
生物,十四、绿色植物的主要类群,"2.果实=________+_______________,种子=________+_______________+()",果实=果皮+种子，种子=种皮+胚+(胚乳)
生物,十四、绿色植物的主要类群,"双子叶植物和单子叶植物的相同点：种皮：保护内部结构;胚：包括_______________________________,是新植物的幼体，种子的主要部分。",胚根、胚轴、胚芽和子叶
生物,十四、绿色植物的主要类群,双子叶植物和单子叶植物的不同点：双子叶植物：只有种皮；______子叶；_____________；营养物质贮存在_____；代表植物有菜豆、蚕豆、花生、大豆等。,2片；无胚乳；子叶
生物,十四、绿色植物的主要类群,双子叶植物和单子叶植物的不同点：单子叶植物：种皮和果皮愈合在一起；_____子叶；有胚乳；营养物质贮存在胚乳；玉米、水稻、小麦、高粱等,1片；有胚乳；胚乳
生物,十五、种子的萌发和植株的生长,1.种子萌发的外界条件是_________、_________、_________。,一定的水分；适宜的温度；充足的空气
生物,十五、种子的萌发和植株的生长,2.种子萌发的自身条件是_________、_________、_________。,饱满的种子；完整、有活力的胚；不在休眠期
生物,十五、种子的萌发和植株的生长,"3.种子萌发的过程：种子先吸水膨胀，子叶或胚乳营养的转运，_________突破种皮发育成_____,胚轴伸长发育成_______________,胚芽发育成________",胚根最先；根；连接根和茎的部位；茎和叶
生物,十五、种子的萌发和植株的生长,4.根尖由上向下的结构及其功能：________区、________区、________区、根冠功能。,成熟；伸长;分生
生物,十五、种子的萌发和植株的生长,根尖由上向下的结构及其功能：成熟区功能：有__________,根毛，吸水和无机盐
生物,十五、种子的萌发和植株的生长,根尖由上向下的结构及其功能：伸长区功能：________最快的部位,生长
生物,十五、种子的萌发和植株的生长,根尖由上向下的结构及其功能：分生区功能：________,分裂
生物,十五、种子的萌发和植株的生长,根尖由上向下的结构及其功能：根冠功能：________,保护
生物,十五、种子的萌发和植株的生长,★幼根的生长：一方面靠____________细胞的分裂_______________________;另一方面靠_____________细胞的__________。,分生区；增加细胞的数量；伸长区；体积增大
生物,十五、种子的萌发和植株的生长,"5.枝条是由____发育成的，幼叶发育成____,芽轴发育成____，芽原基发育成________。(芽中含有分生组织(生长点),细胞分裂、分化后产生新的细胞)",芽；叶；茎；芽
生物,十五、种子的萌发和植株的生长,6.植物生长需要多种营养物质：______________________________,水、无机盐和有机物
生物,十五、种子的萌发和植株的生长,★水和无机盐是根从土壤中________的，有机物是叶片通过_______________的；肥料的作用主要是___________。,吸收；光合作用制造;提供无机盐
生物,十五、种子的萌发和植株的生长,7.植物生长需要最多的是_____________________________________。,含氮、含磷、含钾的无机盐
生物,十五、种子的萌发和植株的生长,植物生长需要(1)含氮无机盐：促使枝叶更茂盛，若缺乏叶片_______________________,发黄、植株矮小
生物,十五、种子的萌发和植株的生长,植物生长需要(2)含磷无机盐：促进_______________若缺乏叶片暗绿色，甚至紫色，植物矮小；,开花结果
生物,十五、种子的萌发和植株的生长,"植物生长需要(3)含钾无机盐：促进_______________________,若缺乏叶片边缘和尖端呈褐色，________。",茎和根的生长；易倒伏
生物,十六、开花和结果,1.花最重要的结构是________(包括________和________)。,花蕊；雄蕊；雌蕊
生物,十六、开花和结果,雌蕊包括________、________、________(子房里有___________胚珠，一个胚珠中一般只有一个卵细胞)。,柱头、花柱；子房；一个或多个
生物,十六、开花和结果,"雄蕊包括_______________、_______(花药里有________,一粒花粉中有________精子)。",花丝；花药；花粉；两个
生物,十六、开花和结果,★.________和________是绿色开花植物形成果实和种子必须要经历的两个重要生理过程。,传粉和受精
生物,十六、开花和结果,2.花粉从________落到________上的过程叫传粉(分为自花传粉和异花传粉)。异花传粉的媒介有两种：________和________。,花药；柱头；风；昆虫
生物,十六、开花和结果,"3.被子植物双受精：一个________和________融合形成_______________,将来发育成________",精子；卵细胞；受精卵；胚
生物,十六、开花和结果,"被子植物双受精：另一个________和_______________融合形成_______________,将来发育成_________。",精子；两个极核；受精极核；胚乳
生物,十六、开花和结果,"4.受精后子房发育成________,子房壁发育成________,胚珠发育成________,珠被发育成________。",果实；果皮；种子；种皮
生物,十六、开花和结果,★子房数=果实数；胚珠数=____________________,种子数
生物,十六、开花和结果,5.为了弥补自然传粉的不足，人们常常给植物进行_______________________,人工辅助授粉
生物,十七、蒸腾作用,"1.植物的木质部中有________(自___向____运输_______________),韧皮部中有________(自____向____运输________),木本植物的木质部和韧皮之间有形成层，能不断分裂，使茎长粗。","植物的木质部中有导管(自下向运输水和无机盐),韧皮部中有筛管(自上向
下运输有机物)"
生物,十七、蒸腾作用,2.叶片的基本结构是________、________、________。,表皮；叶肉；叶脉
生物,十七、蒸腾作用,"叶片的表皮：特征是无色透明，_______________,属于________组织，具有保护功能",不含叶绿体；保护
生物,十七、蒸腾作用,"叶片的叶肉：特征是________,属于_____组织，功能是进行光合作用的主要场所",含有叶绿体；营养
生物,十七、蒸腾作用,"叶片的叶脉：特征是有________,属于_____组织和_____组织，功能是导管运输水分和无机盐；筛管运输有机物",导管和筛管；机械；输导
生物,十七、蒸腾作用,"★叶片气孔：分布在表皮(下表皮较___),是由________半月形的_____________________围成的空腔。它是____________________________________________________________________","下表皮较多；一对；保卫细胞(含叶绿体)；蒸腾作用的“门户”,也是气体交换的“窗口”"
生物,十七、蒸腾作用,3.蒸腾作用是土壤中的水，由根尖的_______________(________吸收进入根内，然后依次通过通过根、茎、叶内的________输送到叶肉细胞，最后以________的状态通过叶的________散发到空气中。,成熟区；根毛；导管；气体；气孔
生物,十七、蒸腾作用,★水分运输途径：土壤溶液中的水分→_______→成熟区的导管→茎部木质部的_______→叶的_______中的导管→叶肉细胞→_______→散失到大气中。,根毛细胞；导管；叶脉；气孔
生物,十七、蒸腾作用,"★根适于吸收水分的特点：成熟区生有大量的________,增加了吸水的________",根毛；表面积
生物,十七、蒸腾作用,4.蒸腾作用对植物自身的意义：____________________________________________________________________,"运输水分的动力，促进植物对水和无机盐的运输：
降低叶片表面的温度，避免因高温被灼伤；"
生物,十七、蒸腾作用,蒸腾作用对环境的意义____________________________________________________________________★蒸腾作用可以促进植物对水分的吸收，但不能促进对无机盐的吸收。,提高空气湿度，增加降雨，促进生物圈的水循环。
生物,十七、蒸腾作用,5.带土移栽的目的是：_______________________,保护幼根和根毛
生物,十七、蒸腾作用,植物阴天或傍晚移栽、去掉部分枝叶移栽的目的是：_______________,降低蒸腾作用
生物,十七、蒸腾作用,6.光合作用的表达式：二氧化碳+水——→有机物(储存能量)+氧气,二氧化碳+水有机物(储存能量)十氧气
生物,十七、蒸腾作用,光合作用的________是二氧化碳和水；________是有机物和氧气；________是光；________是叶绿体；能量转换是______________________________,原料；产物；条件；场所；光能转变成化学能
生物,十七、蒸腾作用,7.光合作用的实质：______________________________,制造有机物，储存能量
生物,十七、蒸腾作用,"8探究“绿叶在光下制造有机物”实验：
步骤1.______:把植物放置在黑暗处一昼夜，目的是_____________________________________________",暗处理；将叶片中原有的淀粉运走或耗尽；
生物,十七、蒸腾作用,"探究“绿叶在光下制造有机物”实验
步骤2_______:用黑纸片将叶片部分遮光，是为了设置________实验，变量是________。",选叶遮光；对照；光照
生物,十七、蒸腾作用,"探究“绿叶在光下制造有机物”实验
步骤3___________:将叶片用_______________加热，溶解掉叶片中的叶绿素，褪去绿色。",脱色处理；酒精隔水
生物,十七、蒸腾作用,"探究“绿叶在光下制造有机物”实验
步骤4___________:滴加碘液检测叶片中是否含有淀粉，观察到叶片见光部分._________,遮光部分.。由此可得出实验结论：绿叶在下制造________。",变蓝；不变蓝；光；淀粉
生物,十七、蒸腾作用,9.影响因素：_______________、_______________________、____________________、叶绿体。,二氧化碳的浓度、光照时间和强度、水
生物,十七、蒸腾作用,10.光合作用意义：(1)制造的________________用来构建植物体，也为其他生物提供食物来源；,有机物
生物,十七、蒸腾作用,"(2)为动、植物的呼吸提供________,维持生物圈中二氧化碳和氧气的平衡(___________________)。",氧气；碳——氧平衡
生物,十七、蒸腾作用,"(1)充分利用光照：a._______________;b.间作套种；
(2)增加二氧化碳浓度(_________);
(3)延长光照时间和增加光照强度。",合理密植；气肥
生物,十九、呼吸作用,1.呼吸作用的表达式：氧气+有机物—线粒体—二氧化碳+水+能量,线粒体二氧化碳+水+能量
生物,十九、呼吸作用,呼吸作用的原料是_______________;产物是_________________；部位是________________________；场所是_______________。,有机物和氧气；二氧化碳和水；部位是所有的活细胞；场所是线粒体
生物,十九、呼吸作用,呼吸能量转换是_______________________________________。,化学能转变成细胞直接能利用的能量
生物,十九、呼吸作用,2.呼吸作用的实质：___________________________________。,分解有机物，释放能量
生物,十九、呼吸作用,"3.测量正在萌发的种子内的温度________,说明种子的________作用________________",上升；呼吸；释放能量
生物,十九、呼吸作用,"4.产生的气体使澄清的石灰水变________,说明种子的作用_______________________",浑浊；呼吸；产生了二氧化碳
生物,十九、呼吸作用,5.使燃烧的蜡烛熄灭，说明种子的________作用_______________________,呼吸；消耗了氧气
生物,十九、呼吸作用,6.粮食在入仓前一定要干,晒干
生物,十九、呼吸作用,储藏水果、蔬菜时________________(如充加氮,降低含氧量
生物,十九、呼吸作用,呼吸影响温度：随温度升高而加强，过高又减弱；应用于储藏蔬菜、水果、粮食时_________________,保持低温
生物,十九、呼吸作用,呼吸影响水分：随植物含水量的增加而增强，应用于粮食在入仓前一定要________,晒干
生物,十九、呼吸作用,呼吸影响氧气：一定浓度内随氧的浓度增加而增强，应用于储藏水果、蔬菜时__________(如充加氮气、二氧化碳),降低含氧量
生物,十九、呼吸作用,二氧化碳影响二氧化碳：二氧化碳浓度大时，受到抑制，应用于_________________延长水果、蔬菜的储藏时间,充加二氧化碳
生物,十九、呼吸作用,"7.呼吸作用原理在生活中的应用
(1)__________________:储存粮食、果蔬保鲜必须保证三“低”:_______、__________、________(干燥);",降低呼吸作用；低温、低氧、低含水量
生物,十九、呼吸作用,"呼吸作用原理在生活中的应用
(2)__________________:中耕松土、及时排涝，保证根部有充足的氧气。",促进呼吸作用：中耕松土、及时排涝，保证根部有充足的氧气。
生物,十九、呼吸作用,________是生物的共同特征；任何活细胞_______________都进行呼吸作用。,呼吸作用；每时每刻
生物,十九、呼吸作用,"8.绿色植物在维持生物圈碳一氧平衡中的作用
(1)绿色植物通过光合作用，不断消耗大气中的二氧化碳，又将氧气排放到大气中，对维持生物圈的二氧化碳和氧气的相对平衡(简称._______________)起了重要作用。
(2)要维持生物圈的碳一氧平衡，一方面要保护现有的森林，并大力植树造林，充分发挥植物消耗二氧化碳、制造氧气的功能；另一方面要开展国际合作，减少二氧化碳的排放。",碳——氧平衡
生物,二十、人的由来和生殖,1.________________的进化论认为现代类人猿和人类的共同祖先是_____________。_________是人猿分界的标志。,达尔文；森林古猿；直立行走
生物,二十、人的由来和生殖,★从猿到人进化的原因是地形和气候的剧烈变化，______________________________________,直接原因是森林大量消失
生物,二十、人的由来和生殖,2.现代类人猿包括：大猩猩、黑猩猩、长臂猿和猩猩，________与人类亲缘关系最接近。,黑猩猩
生物,二十、人的由来和生殖,3.男性主要生殖器官是________它的作用是产生________和分泌_______________。,睾丸；精子；雄性激素
生物,二十、人的由来和生殖,"女性主要生殖器官是_______,它的作用是产生________和分泌_______________",卵巢；卵细胞；雌性激素
生物,二十、人的由来和生殖,4.胚胎发育初期所需要的营养来自________;胚胎8周左右发育成胎儿后，通过________从母体获取营养物质和排出废物，其中________和母体物质交换的主要器官。,卵黄；胎盘、脐带；胎盘
生物,二十、人的由来和生殖,5.人的新生命发育的起点是________;受精卵结合的场所是_________;胚胎发育的场所是_____________________,受精卵；输卵管；子宫
生物,二十、人的由来和生殖,6.青春期的身体变化：(1)_______________是最显著特征；,身高突增
生物,二十、人的由来和生殖,青春期的身体变化：(2)_______________及内脏(心肺)功能增强；,神经系统
生物,二十、人的由来和生殖,"青春期的身体变化：(3)_______________________是青春发育的突出特征，男孩出现________,女孩出现________等正常现象以及出现_______________。",性发育和性成熟；遗精；月经；第二性征
生物,二十、人的由来和生殖,★青春期是人一生中________和_______________的黄金时期。,身体发育；智力发展
生物,二十一、人的营养,1.食物中含有六类营养物质：______、________、________、___________、__________、____________。,糖类、脂肪、蛋白质、水、无机盐和维生素
生物,二十一、人的营养,(1)________是人体________供能物质：________是________能源；________是建造和修复身体的________,糖类是人体主要供能物质：脂肪是备用能源；蛋白质是建造和修复身体的重要原料，提供能量
生物,二十一、人的营养,"(2)________约占体重________,人体内的营养物质以及尿素等废物，只有溶解在水中才能运输。",水；60-70%
生物,二十一、人的营养,"(3)________是一类比较简单的有机物，种类很多，________构成细胞的________,不为人体________,但却是人体内不可缺少的营养物质。",维生素；不是；主要原料
生物,二十一、人的营养,"2.缺乏症状：
无机盐的种类：含_______的无机盐，缺乏时的症状：________、________，维生素种类是维生素______，缺乏时的症状夜盲症、皮肤干燥，食物来源：肝、乳制品、胡萝卜等",含钙的无机盐；佝偻病、骨质疏松症；维生素A；夜盲症
生物,二十一、人的营养,无机盐的种类：含_______的无机盐，缺乏时的症状：厌食、贫血、肌无力，维生素种类是维生素______，缺乏时的症状______、神经炎，食物来源：糙米、花生、瘦肉等,含磷的无机盐；厌食、贫血、肌无力；维生素B；脚气病
生物,二十一、人的营养,无机盐的种类：含_______的无机盐，缺乏时的症状：________，维生素种类是维生素______，缺乏时的症状______神经炎，食物来源：水果、蔬菜等,含铁的无机盐；缺铁性贫血；维生素C；坏血病
生物,二十一、人的营养,无机盐的种类：含_______的无机盐，缺乏时的症状：________，维生素种类是维生素______，缺乏时的症状______、骨质疏松症，食物来源：动物肝脏以及牛奶等,含碘的无机盐；地方性甲状腺肿；维生素D；佝偻病
生物,二十一、人的营养,无机盐的种类：含_______的无机盐，缺乏时的症状：________。,含锌的无机盐；生长发育不良
生物,二十一、人的营养,"3.消化系统的组成：消化道和消化腺。
消化道包括：口腔→咽→____→胃→小肠→______→肛门。",食道；大肠
生物,二十一、人的营养,消化腺包括：唾液腺(分泌唾液)、胃腺(分泌胃液)、肝脏(分泌胆汁(_________)、胰腺(分泌胰液)、肠腺(分泌肠液),不含消化酶
生物,二十一、人的营养,"4.食物的消化
(1)________消化：牙齿的咀嚼、舌的搅拌和胃、肠的蠕动，将食物磨碎、搅拌，并与消化液混合。",物理性
生物,二十一、人的营养,"食物的消化
(2)________消化：通过各种消化酶的作用，使食物中各种成分________为可以吸收的营养物质。",化学性
生物,二十一、人的营养,"5.三大物质消化：
_______________：淀粉通过口腔中的唾液淀粉酶(唾液)生成麦芽糖，再通过小肠中酶(肠液、胰液)变为葡萄糖。
",淀粉的消化(口腔、小肠)
生物,二十一、人的营养,_______________：蛋白质通过胃中的酶(胃液)生成多肽；再通过小肠中酶(肠液、胰液)变为氨基酸,蛋白质的消化(胃、小肠)
生物,二十一、人的营养,_______________:脂肪通过小肠中的胆汁生成脂肪小颗粒，再通过小肠中酶(肠液、胰液)变为甘油+脂肪酸,脂肪的消化(小肠)
生物,二十一、人的营养,6.小肠适于消化和吸收的特点(________),长大多薄
生物,二十一、人的营养,小肠适于消化和吸收的特点(1)长：小肠细且________有利于_______________,长；消化和吸收
生物,二十一、人的营养,小肠适于消化和吸收的特点(2)大：小肠内有皱襞和绒毛，增大消化和吸收表面积，有利于_______________;,消化和吸收
生物,二十一、人的营养,小肠适于消化和吸收的特点(3)多：小肠内消化液和消化酶种类最.有利于________;,消化
生物,二十一、人的营养,小肠适于消化和吸收的特点(4)薄：小肠绒毛且内有丰富的毛细血管和淋巴管，管壁都只由一层上皮细胞组成，有利于___________,吸收
生物,二十一、人的营养,7.合理营养(_______________的营养)与食品安全,全面而平衡
生物,二十一、人的营养,(1)合理营养(1)合理搭配食谱，早、中、晚餐的能量各占_______________________。,30%、40%、30%
生物,二十一、人的营养,(2)“平衡膳食宝塔”:需求由多到少分别是________、蔬菜水果类、肉蛋类、奶类和豆类、最少是________。,谷类；油脂类
生物,二十一、人的营养,(3)绿色食品是指__________、______________、________的食品。,无污染、安全、优质
生物,二十二、人体的呼吸,1.人体的呼吸系统是由________和肺组成。,呼吸道
生物,二十二、人体的呼吸,2.呼吸道的组成：鼻腔→咽→喉→________→支气管。,气管
生物,二十二、人体的呼吸,"呼吸道是________________的通道,保证气体顺畅通过，使到达肺部的气体________，但能力有限。",呼吸道是气体进出的通道，保证气体顺畅通过，使到达肺部的气体清洁、温暖、湿润，但能力有限
生物,二十二、人体的呼吸,★咽是消化道和呼吸道的_______________。,共同器官
生物,二十二、人体的呼吸,★会厌软骨：______________________________,防止食物误入气管
生物,二十二、人体的呼吸,★气管是_____形成的部位。,痰
生物,二十二、人体的呼吸,"膈肌收缩位置下降膈肌舒张位置上升3.吸气时，呼吸肌.,膈顶________,胸廓容积________,肺内气压________气体________。呼气时，呼吸肌________,膈顶________,胸廓容积________,肺内气压________,气体________。",下降；增大；下降；舒张；上升；位置上升
